Transaction_ID,User_ID,Date,Transaction_Amount,Transaction_Type,Account_Balance,Device_Type,Location,Merchant_Category,Previous_Fraudulent_Activity,Daily_Transaction_Count,Card_Age,Card_Type,Fraud_Label
E87A2093-034,USER_7052,2026-03-28 07:09:37,100.47,POS,60287.33,Desktop,London,Healthcare,0,3,1,Visa,0
41A292A4-1BE,USER_1819,2026-06-11 17:04:29,85.33,POS,59732.18,Tablet,Berlin,Retail,0,9,78,Discover,0
14E26C77-CE7,USER_7353,2026-01-07 23:03:48,222.37,Online,77349.85,Laptop,New York,Finance,0,11,61,Amex,0
4F868C9E-DD2,USER_5023,2025-11-20 21:24:41,47.59,Wire Transfer,61646.83,Tablet,London,Utilities,0,9,94,Mastercard,0
C223FC27-2FD,USER_1380,2026-06-21 16:44:14,148.6,ATM,85187.28,Laptop,Toronto,Travel,0,10,44,Amex,0
7CC1C16C-892,USER_9238,2025-08-17 11:45:18,1001.68,Online,41172.95,Desktop,London,Healthcare,0,2,19,Mastercard,0
155B5C0C-333,USER_1533,2026-06-09 08:26:45,84.34,POS,66586.71,Desktop,Dubai,Electronics,0,5,25,Mastercard,0
60288528-818,USER_7925,2026-06-18 11:20:19,111.48,Online,87821.03,Mobile,Sydney,Food & Beverage,0,12,97,Mastercard,0
1C76A580-340,USER_2841,2025-10-19 07:35:55,209.9,Online,22484.73,Laptop,London,Entertainment,0,8,80,Mastercard,0
75F17765-5FC,USER_2893,2026-03-27 02:11:34,39.19,POS,57316.47,Laptop,Tokyo,Electronics,0,3,36,Amex,0
3CFB93F8-256,USER_9857,2025-09-09 07:12:58,40.45,POS,79496.55,Desktop,Berlin,Entertainment,0,8,61,Mastercard,0
C9D4F9BC-0D7,USER_3440,2025-08-29 19:04:41,420.22,Online,932.02,Mobile,Mumbai,Finance,0,12,60,Discover,0
682A4F5F-B80,USER_9273,2025-10-30 06:58:24,20.74,Online,46211.74,Tablet,Mumbai,Finance,0,3,5,Discover,0
2C0171C4-B89,USER_9921,2026-05-24 18:08:14,33.18,POS,97384.04,Laptop,Berlin,Travel,0,7,1,Visa,0
BC90D2C2-EEA,USER_8689,2026-05-31 14:18:46,64.82,ATM,55887.21,Tablet,London,Finance,0,2,2,Amex,0
2D503F4F-998,USER_5203,2025-12-18 20:57:19,94.96,Online,96877.19,Mobile,Dubai,Travel,0,1,37,Discover,0
E8D7CB17-15F,USER_6880,2026-01-09 06:58:10,433.63,POS,88243.15,Tablet,New York,Travel,0,5,60,Amex,0
8DC7E235-FD4,USER_6595,2026-06-15 16:27:15,149.77,Mobile,7246.56,Mobile,Sydney,Entertainment,0,4,7,Amex,0
6F6F5578-EE8,USER_4541,2025-09-14 23:16:52,42.11,Online,58334.82,Mobile,Paris,Travel,0,10,62,Mastercard,0
C0103E7D-D9A,USER_2485,2026-01-26 07:52:01,46.97,ATM,27330.27,Mobile,New York,Retail,0,2,12,Discover,0
7743A312-563,USER_1912,2025-12-22 11:31:34,27.78,Online,59401.27,Tablet,Berlin,Entertainment,0,8,100,Discover,0
D6FA05A0-177,USER_8183,2025-10-03 21:11:35,405.27,Online,75660.21,Desktop,Dubai,Retail,1,2,101,Visa,0
F32164F3-CAF,USER_7107,2026-06-19 07:22:26,128.31,ATM,73426.8,Mobile,Paris,Entertainment,0,6,19,Amex,0
0DCDDC39-96C,USER_1939,2025-10-09 11:37:03,99.5,Mobile,3528.17,Mobile,Berlin,Entertainment,0,4,42,Amex,0
B67A00F7-48A,USER_4610,2026-04-27 04:16:43,133.23,Mobile,53459.89,Laptop,Toronto,Electronics,0,2,49,Visa,0
45916A1F-D06,USER_3852,2026-01-01 09:13:53,37.56,Wire Transfer,97933.69,Tablet,Singapore,Entertainment,0,10,111,Visa,0
DB29FEA2-99A,USER_4672,2026-06-13 16:45:55,321.8,Online,22879.65,Desktop,Mumbai,Healthcare,0,2,89,Amex,0
40F58ABB-230,USER_2356,2025-12-20 15:40:59,58.7,Online,80342.41,Laptop,Dubai,Electronics,0,10,15,Visa,0
BA0C0B66-DC0,USER_1770,2026-02-10 02:33:40,17.96,POS,44186.41,Mobile,Mumbai,Finance,0,4,36,Mastercard,0
CE098229-381,USER_3741,2025-11-27 10:58:04,24.68,Mobile,93971.08,Laptop,Paris,Travel,0,12,20,Visa,0
0711655E-DF4,USER_3823,2025-07-01 22:54:35,154.09,POS,15064.12,Mobile,Toronto,Retail,0,11,81,Visa,0
09BFE49F-4A3,USER_2354,2026-03-29 10:58:30,798.92,Mobile,82731.13,Laptop,Toronto,Food & Beverage,0,14,4,Mastercard,0
286E5721-8A3,USER_3499,2026-01-23 00:52:44,73.83,Online,59356.42,Laptop,Mumbai,Entertainment,0,2,51,Mastercard,0
CA2C45DF-14C,USER_2302,2025-11-29 11:10:20,19.8,POS,22689.99,Laptop,Singapore,Entertainment,0,13,61,Visa,0
FC3FB0DE-A45,USER_5221,2025-09-23 10:53:10,91.54,Mobile,5143.44,Tablet,Berlin,Retail,0,5,19,Amex,0
3DA3368D-13A,USER_1573,2026-03-08 13:16:19,9.73,Online,8602.41,Tablet,Dubai,Finance,0,2,30,Discover,0
73C9B46E-2D9,USER_8631,2026-03-05 06:22:06,244.56,POS,29634.88,Mobile,New York,Travel,0,14,59,Discover,0
